식별번호,시장명,시장유형,소재지도로명주소,소재지지번주소,위도,경도
11001,용흥시장,상설장,경상북도 포항시 북구 대안길 56,경상북도 포항시 북구 용흥동366,36.04163448,129.3513838
11001,한라종합시장,상설장,경상북도 포항시 북구 대안길 57,경상북도 포항시 북구 용흥동 357-1,36.04122646,129.3512715
11001,그린종합시장,상설장,경상북도 포항시 북구 용두산길 39,경상북도 포항시 북구 장성동 1352-1,36.06729427,129.3809605
11001,장량성도시장,상설장,경상북도 포항시 북구 용두산길 54,경상북도 포항시 북구 두호동 1079,36.06828032,129.3813722
11001,죽도시장,상설장,경상북도 포항시 북구 죽도시장13길 13,경상북도 포항시 북구 죽도동 2번지일대,36.03641906,129.3681415
11001,포항죽도어시장,상설장,경상북도 포항시 북구 죽도시장길32,경상북도 포항시 북구 죽도동 574-4,36.03513373,129.3690792
11001,포항중앙상가,상설장,경상북도 포항시 북구 중앙상가길64,경상북도 포항시 북구 상원동 468-23,36.04015775,129.3661508
11001,두회시장,상설장,경상북도 포항시 북구 창흥로 11,경상북도 포항시 북구 창포동630,36.06174372,129.36936
11001,청하시장,상설장+5일장,경상북도 포항시 북구 청하면 청하로 200번길 4,경상북도 포항시 북구 청하면 미남리 382-3,36.19707466,129.3396614
11001,환호그린빌,상설장,경상북도 포항시 북구 환호공원길 15,경상북도 포항시 북구 환호동 377-5,36.06812939,129.3911479
11001,흥해시장,5일장,경상북도 포항시 북구 흥해읍 한동로 61-13,경상북도 포항시 북구 흥해읍 성내리 61-2,36.110619,129.3482876
11001,포항 죽도 농산물시장,상설장,경상북도 포항시 죽도시장2길 18,경상북도 포항시 죽도동 5-22,36.03457772,129.3679676
11001,양학시장,상설장,경상북도 포항시북구 양학로 40,경상북도 포항시 북구 학잠동 83,36.02726703,129.3497408
13005,송정5일시장,5일장,광주광역시 광산구 광산로30번길 65,광주광역시 광산구 송정동 884-1,35.13707956,126.7969059
13005,송정매일시장,상설장,광주광역시 광산구 송정로 29번길 64,광주광역시 광산구 송정동 813-1,35.13744947,126.7968447
13005,1913송정역 시장,상설장,광주광역시 광산구 송정로 8번길 33,광주광역시 광산구 송정동 971-1,35.13556354,126.7915343
13005,우산매일시장,상설장,광주광역시 광산구 우산로,광주광역시 광산구 우산동 1612- 1,35.16218295,126.8035258
13005,월곡시장,상설장,광주광역시 광산구 월곡 사암로 300,광주광역시 광산구 월곡동 687-3,35.17129717,126.8096478
13005,비아5일시장,상설장+5일장,광주광역시 광산구 중앙로 26-1,광주광역시 광산구 비아동 83-5,35.22135768,126.8252661
13003,무능시장,상설장,광주광역시 남구 군분로27,광주광역시 남구 주월동 974-107,35.13592608,126.8945422
13003,봉선시장,상설장,광주광역시 남구 봉선중앙로91번길 7 봉선동,광주광역시 남구 봉선동 997-1,35.12905105,126.9100024
13001,남광주 해뜨는시장,상설장,광주광역시 동구 제봉로17번길 13-6,광주광역시 동구 학동 55-57,35.13896306,126.9212522
13001,남광주시장,상설장,광주광역시 동구 제봉로17번길 18-6,광주광역시 동구 학동 84-23,35.13929961,126.9208104
13001,대인시장,상설장,광주광역시 동구 제봉로194번길 10,광주광역시 동구 대인동 309-3,35.15407802,126.917243
13001,산수시장,상설장,광주광역시 동구 필문대로192번길 17-1,광주광역시 동구 산수동 558-58,35.15348678,126.9297328
13004,두암시장,상설장,광주광역시 북구 금녕길 23,광주광역시 북구 두암동 856-5,35.1715782,126.9293897
13004,운암시장,상설장,광주광역시 북구 대자로 87,광주광역시 북구 운암동 94-7,35.17337341,126.8820036
13004,말바우시장,상설장+5일장,광주광역시 북구 동문대로97번길 55,광주광역시 북구 우산동 190-1,35.17297793,126.9213607
13004,동부시장,상설장,광주광역시 북구 중문로9번길 39,광주광역시 북구 중흥동 272-6,35.17388593,126.916337
13002,양동경열로시장,상설장,광주광역시 서구 경열로 140-1,광주광역시 서구 양동 307-28,35.1536684,126.9008475
13002,양동산업용품시장,상설장,광주광역시 서구 독립로 205,광주광역시 서구 양동 62의 1,35.15117135,126.906622
13002,양동시장,상설장,광주광역시 서구 천변좌로 238,광주광역시 서구 양동 5-101,35.15390747,126.9025577
13002,양동복개상가,상설장,광주광역시 서구 천변좌로 243,광주광역시 서구 양동 441,35.15359895,126.9039282
13002,양동수산시장,상설장,광주광역시 서구 천변좌로 246번길 16,광주광역시 서구 양동 5-254,35.15323541,126.90166
13002,양동건어물시장,상설장,광주광역시 서구 천변좌로 254번길 6,광주광역시 서구 양동 5-160,35.15316825,126.9033302
13002,양동닭전길시장,상설장,광주광역시 서구 천변좌로 262번길 4,광주광역시 서구 양동 5-56,35.15281861,126.9039961
13002,화정서부시장,상설장,광주광역시 서구 화운로156번길 24-1,광주광역시 서구 화정동783의5,35.15304086,126.8792821
10009,군위전통시장,5일장,대구광역시 군위군 군위읍 중앙6길 4-1,대구광역시 군위군 군위읍 서부리 18-1,36.23975176,128.5679294
10009,의흥시장,5일장,대구광역시 군위군 의흥면 읍내5길 7,대구광역시 군위군 의흥면 읍내리 594-1,36.17425304,128.716305
10004,관문시장,상설장,대구광역시 남구 관문시장2길 43,대구광역시 남구 대명동 1160,35.83553597,128.5590637
10004,명덕시장,상설장,대구광역시 남구 대명로 57길 10-46,대구광역시 남구 대명동 141-1,35.84479575,128.5882688
10004,대명중앙시장,상설장,대구광역시 남구 대명로20길 56,대구광역시 남구 대명6동 1040-4,35.83680695,128.5677075
10004,봉덕시장,상설장,대구광역시 남구 대봉로 17길5-3,대구광역시 남구 봉덕동 961-39,35.84571081,128.6036912
10004,대명시장,상설장,대구광역시 남구 명덕로 60,대구광역시 남구 대명동 1395-56,35.85840896,128.5771651
10004,봉덕신시장,상설장,대구광역시 남구 봉덕로 115,대구광역시 남구 대구 남구 봉덕동 955-8,35.84513894,128.6033943
10004,성당시장,상설장,대구광역시 남구 성당로 196,대구광역시 남구 대명동 3023-23,35.85016855,128.5729695
10004,안지랑시장,상설장,대구광역시 남구 안지랑로16길 67,대구광역시 남구 대명동 829-2,35.83685644,128.5751543
10004,관문상가시장,상설장,대구광역시 남구 월배로 494,대구광역시 남구 대명동 1135-4,35.83654368,128.5572814
10004,광덕시장,상설장,대구광역시 남구 자유6길50,대구광역시 남구 대명동 460-1,35.8371932,128.5824169
10004,영선신시장,상설장,대구광역시 남구 중앙대로48길 36,대구광역시 남구 대명동 2014-204,35.85230523,128.5929207
10004,남부시장,상설장,대구광역시 남구 현충로 19길43,대구광역시 남구 대명동 797-1,35.84140252,128.5769294
10007,달서송림시장,상설장,대구광역시 달서구 구마로 176,대구광역시 달서구 본동 225-1,35.83686121,128.5470721
